Product Name	type of field	pheos cx2	megasonic 9320 265	pronamic visor arc flash 2
🇮🇹IT:		Industra del vetro, industria dell'acciaio e metallurgica, Edilizia		
CE Category		II	II	III
EN166 (Frame)	String of text	W 166 FT CE	W 166 34 BT CE	W 166 3 8-2 9 B CE 0196
Additional marking			34	3 8-2 9 
Mechanical strenght		FT	BT	B
EN166 (Lens)	String of text	4C-5 W1 FTKN CE, 2C-5 W1 FTKN CE	2C-1,2 W 1 BT KN CE	2C-1,2 W 1 B 8-2-0 9 KN CE 0196
Filter		4C, 2C	2C	2C
Tinting level		5	1,2	1,2
Optical class		1	1	1
Mechanical strenght		FT	BT	B 8-2-0 9
Additional marking		KN	KN	KN
EN169	String of text	TRUE	FALSE	FALSE
EN170	String of text	TRUE	TRUE	TRUE
EN171	String of text	TRUE	FALSE	FALSE
EN172	String of text	FALSE	FALSE	FALSE
EN175	String of text	FALSE	FALSE	FALSE
Other EN Standards	list of other applicable EN standard	FALSE	FALSE	GS-ET 29
ENVIRONMENT				
Dry / Asciutto		TRUE	TRUE	TRUE
Wet / Umido		TRUE	TRUE	TRUE
Chemical / Chimico			TRUE	
Dust / Polveri		TRUE	TRUE	
Electrical / Elettrico				TRUE
Biological contaminants / Contaminanti biologici				
Related Product Name 1				
Related Product Name 2				
Related Product Name 3				
Related Product Name 4				
